date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2015-09-18,0.18,11.29,74.66,99.86,12.78,20.56,15.84,15.84,27.14,14.36,20.49,3.81,1.44,3.01,2.18,6.82,3.63,5.06,2.78,2015
2017-05-26,3.96,7.84,87.18,99.16,2.83,12.13,10.16,10.16,13.73,10.9,12.25,8.98,6.53,0.85,0.61,9.83,7.13,6.57,4.59,2017
2017-09-12,0.03,9.04,78.02,99.86,12.63,16.35,12.35,12.34,22.82,10.2,16.25,2.33,2.48,4.93,2.69,7.26,5.18,6.27,3.73,2017
2017-06-30,4.18,12.46,91.58,99.65,9.26,18.93,17.22,17.22,23.76,14.49,18.74,4.24,3.03,1.35,0.91,5.59,3.93,4.04,2.52,2017
2016-08-30,0.95,10.57,74.58,100.29,8.71,19.89,14.83,14.82,23.69,14.98,19.52,2.81,2.35,3.04,1.78,5.85,4.13,4.46,2.72,2016
2015-08-17,0.09,14.94,78.2,100.0,10.97,24.41,20.26,20.26,29.81,18.84,24.33,2.0,2.11,4.63,2.22,6.62,4.33,5.62,3.31,2015
2015-08-13,0.2,10.23,78.43,100.01,8.22,18.64,14.34,14.34,22.4,14.18,18.14,3.36,1.97,3.6,2.05,6.96,4.02,5.01,3.13,2015
2015-09-20,1.13,6.06,63.82,100.34,9.31,13.66,6.44,6.45,18.48,9.16,13.27,9.29,6.75,1.6,1.13,10.88,7.88,5.16,3.48,2015
2015-05-26,0.94,12.94,83.14,99.97,10.24,20.71,17.96,17.96,25.85,15.61,20.96,4.28,4.54,5.82,2.59,10.1,7.13,8.32,5.15,2015
2017-04-06,28.19,4.37,96.34,99.02,5.4,2.32,1.65,1.65,5.05,-0.35,2.27,6.36,6.72,6.02,3.05,12.38,9.77,8.32,6.11,2017
2015-11-17,1.2,2.59,77.95,101.94,7.67,-1.97,-4.81,-4.76,3.36,-4.32,-1.63,3.64,1.51,1.95,1.5,5.59,3.02,4.03,2.43,2015
2015-11-23,0.13,1.93,68.03,100.36,5.3,-3.64,-8.63,-8.45,-0.6,-5.9,-3.96,3.56,3.25,3.35,2.0,6.9,5.25,5.15,3.28,2015
2016-05-20,16.16,7.18,70.5,100.66,14.65,14.4,8.97,8.98,21.08,6.42,14.39,5.54,2.19,2.08,1.78,7.62,3.97,4.94,2.87,2016
2017-05-19,0.21,7.07,74.82,99.91,12.65,13.58,8.11,8.11,19.57,6.92,13.13,5.05,3.45,5.34,3.44,10.39,6.89,7.26,4.88,2017
2015-05-28,3.59,11.15,83.62,100.34,10.0,18.59,15.66,15.66,22.71,12.7,18.53,3.51,3.66,4.06,2.0,7.56,5.67,5.89,3.83,2015
2015-05-25,16.79,9.6,90.62,100.3,5.76,14.87,13.34,13.33,17.41,11.66,14.93,5.51,3.42,2.14,1.63,7.65,5.05,5.36,3.36,2015
2015-10-30,0.79,3.45,71.96,99.59,8.76,3.06,-1.64,-1.59,6.61,-2.15,3.13,8.64,6.22,2.92,1.67,11.55,7.89,8.09,5.35,2015
2016-05-01,5.48,4.8,86.02,100.65,6.59,5.84,3.2,3.2,8.41,1.82,5.45,1.81,1.46,3.78,2.19,5.59,3.65,4.58,3.03,2016
