code,name,latitude,longitude,yearid
213,424 Wellington St W,,,2017
72,Yonge St / Aylmer Ave,,,2016
59,Bathurst Subway Station,,,2017
22,161 Bleecker St (South of Wellesley),,,2017
117,Howard St / Sherbourne St,,,2017
5,Simcoe St / Wellington St W,,,2016
85,Dockside Dr / Queens Quay E (Sugar Beach),,,2016
125,King St W / Bay St (East Side),,,2016
36,Navy Wharf Ct. / Bremner Blvd.,,,2016
252,Wallace Ave / Symington Ave - SMART,,,2017
41,Augusta Ave / Denison Sq,,,2017
282,Adelaide St W / Bay St - SMART,,,2017
188,Pape Subway Green P,,,2016
197,Woodbine Subway Green P (Cedarvale Ave),,,2017
209,College St / Markham St,,,2017
11,Central Tech  (Harbord St),,,2016
266,Rosehill Ave / Avoca Ave - SMART,,,2017
114,Sterling Rd / Dundas St W,,,2016
132,Nelson St / Duncan St,,,2016
179,King St W / Joe Shuster Way,,,2016
105,King St E / Jarvis St,,,2017
9,51 Parliament St,,,2016
51,Mill St / Tannery Rd,,,2017
168,Front St / Bay St (North Side),,,2017
281,Yonge St / Alexander St - SMART,,,2017
33,King St W / Tecumseth St,,,2016
74,Simcoe St / Wellington St W,,,2017
243,Toronto Eaton Centre (Yonge St),,,2017
76,King St W / Bay St (East Side),,,2017
143,Temperance St / Yonge St,,,2017
93,Bond St / Queen St E,,,2016
34,St. George St / Hoskin Ave,,,2016
73,Bay St / Bloor St W,,,2017
102,Hayter St / Laplante Ave,,,2016
24,Fort York  Blvd / Capreol Crt,,,2016
108,424 Wellington St. W,,,2017
159,Wellington St W / Stafford St,,,2016
55,Kendal Ave / Bernard Ave,,,2016
13,Wellesley St / Queen's Park Cres,,,2016
101,Queen St W / Dovercourt Rd,,,2016
263,Church St / Dundas St E - SMART,,,2017
47,Beverly St / College St W,,,2017
131,Howard St / Sherbourne St,,,2016
171,King St W / Joe Shuster Way,,,2017
59,Yonge St / Wood St,,,2016
161,Jimmie Simpson Park (Queen St E),,,2017
48,Elizabeth St / Edward St (Bus Terminal),,,2016
15,College St W / Major St,,,2016
233,Lakeshore Blvd W / Ellis Ave,,,2017
148,Boston Ave / Queen St E,,,2016
134,Ontario Place Blvd / Remembrance Dr,,,2016
181,Bridgeman Ave / Kendal Ave,,,2016
196,Stephenson Ave / Main St,,,2017
178,Danforth Ave / Coxwell Ave,,,2016
75,Queens Quay / Yonge St,,,2016
20,College St W / Huron St,,,2017
182,Donlands Station,,,2017
287,Dovercourt Rd / Harrison St - SMART,,,2017
16,Bay St / Albert St,,,2017
131,Davenport Rd / Bedford Rd,,,2017
82,East Liberty St / Pirandello St,,,2016
2,Elizabeth St / Edward St (Bus Terminal),,,2017
151,Spadina Ave / Willcocks St,,,2016
26,Bay St / College St (East Side),,,2016
214,Margueretta St / College St,,,2017
10,Beverly  St / Dundas St W,,,2017
261,Gerrard St E / Broadview - SMART,,,2017
230,Bloor St W / High Park Ave (High Park),,,2017
49,Willcocks St / St. George St,,,2016
163,Metro Hall Plaza,,,2017
162,McGill St / Church St,,,2017
62,Huron/ Harbord St,,,2017
231,Base Station,,,2017
0,Bremner Blvd / Spadina Ave,,,2017
125,Palmerston Ave / Vermont Ave,,,2017
256,Thompson St / Broadview Ave - SMART,,,2017
66,Bremner Blvd / Rees St,,,2016
115,Church St  / Wood St,,,2017
162,Bathurst St / Queens Quay W,,,2016
138,Sumach St / Carlton St. (Riverdale Farm),,,2016
232,Humber Bay Shores Park East,,,2017
150,Palmerston Ave / Vermont Ave,,,2016
42,Bay St / Wellesley St W,,,2016
227,Lower Spadina Ave / Lake Shore Blvd,,,2017
41,Queen St W / Spadina Ave,,,2016
72,Bathurst St / Queens Quay W,,,2017
177,Dufferin St / Sylvan Av (Dufferin Grove Park),,,2017
268,John St  / Mercer St - SMART,,,2017
254,Tecumseth St / Queen St W - SMART,,,2017
192,Woodbine Subway Green P (Cedarvale Ave),,,2016
223,The Royal Ontario Museum (Bloor St Entrance),,,2017
54,Yonge St / Yorkville Ave,,,2016
57,Scott St / The Esplanade,,,2017
134,Central Tech  (Harbord St),,,2017
144,Queen St W / Cowan Ave,,,2017
96,Bloor St W / Christie St,,,2017
92,Nelson St / Duncan St,,,2017
28,Dundas St W / Crawford St,,,2017
190,Dufferin St / Bloor St,,,2016
