date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2016-04-23,1.13,3.6,66.67,100.07,8.56,5.45,-0.86,-0.82,9.83,1.27,4.89,5.06,3.97,3.51,2.75,8.56,6.71,6.49,4.9
2016-08-04,0.07,12.24,58.49,99.69,9.19,26.34,17.0,17.0,30.38,21.19,25.82,3.75,2.23,1.35,1.25,5.1,3.48,3.34,2.48
2015-08-10,8.33,11.34,75.48,99.2,8.51,20.45,15.66,15.66,25.52,17.01,20.27,1.82,1.43,1.79,1.45,3.6,2.88,2.58,1.98
2015-08-17,0.28,13.56,66.72,99.67,8.94,25.05,18.66,18.67,29.87,20.93,25.32,3.31,2.69,4.32,2.47,7.63,5.16,6.27,4.25
2016-07-12,0.31,11.64,61.68,99.52,9.59,23.89,16.24,16.24,29.23,19.64,24.08,5.03,3.35,2.28,1.98,7.31,5.33,4.78,3.34
2017-02-22,0.35,5.68,99.55,99.1,7.69,4.73,5.25,5.25,9.78,2.09,5.54,9.83,5.96,0.36,0.31,10.19,6.27,4.74,3.03
2017-05-25,19.84,8.3,95.65,98.25,2.11,10.79,10.9,10.9,12.6,10.49,11.57,6.68,5.72,4.85,2.9,11.54,8.61,9.02,6.48
2017-02-23,0.1,6.03,92.15,98.69,9.36,5.9,6.07,6.07,11.45,2.1,7.45,8.44,6.63,5.09,2.96,13.53,9.59,10.54,7.07
2015-10-10,1.26,5.93,69.43,99.91,7.32,12.85,6.13,6.14,15.53,8.21,11.6,7.77,5.56,1.51,1.39,9.28,6.94,5.11,3.81
2016-11-23,1.46,2.8,76.29,100.61,3.98,1.76,-4.15,-4.09,1.39,-2.59,-0.45,6.43,5.25,1.88,1.52,8.31,6.77,4.11,3.25
2015-03-10,0.0,3.4,95.12,99.75,7.62,-2.03,-1.86,-1.85,2.49,-5.13,-0.92,7.0,4.87,3.01,2.29,10.01,7.16,6.2,4.02
2015-03-28,0.64,1.46,61.98,100.17,9.77,-4.91,-11.79,-11.5,-1.3,-11.06,-6.42,2.6,2.48,6.54,4.76,9.14,7.24,7.79,6.07
2017-12-04,0.72,4.88,89.96,100.08,5.51,4.33,3.44,3.44,7.75,2.24,4.94,11.28,7.65,1.49,1.23,12.77,8.88,7.5,5.47
2015-11-06,2.58,8.2,84.93,98.97,9.02,11.9,10.53,10.53,16.87,7.86,13.3,10.35,7.85,6.2,3.9,16.55,11.76,11.11,7.57
2017-07-09,0.72,10.18,66.0,99.44,8.95,20.55,14.12,14.12,24.86,15.9,20.75,4.32,2.73,6.71,5.15,11.04,7.87,8.88,6.31
2015-07-20,0.41,11.58,67.2,98.68,10.0,22.45,16.0,16.0,26.89,16.89,22.43,4.23,2.67,4.16,3.11,8.4,5.78,6.48,4.49
2015-05-26,0.25,10.4,77.98,99.71,8.42,16.14,14.46,14.46,22.49,14.08,18.44,2.94,3.09,6.64,3.88,9.58,6.98,8.18,5.63
2016-04-07,1.78,4.25,86.43,97.6,6.77,2.7,1.0,1.01,5.29,-1.49,3.21,4.14,1.51,8.6,6.49,12.75,8.0,9.93,7.23
2015-12-03,2.72,4.21,87.7,99.69,4.43,3.4,1.31,1.32,6.04,1.61,3.17,4.66,4.69,6.16,4.04,10.82,8.73,8.1,5.92
2017-09-27,0.22,11.95,71.67,99.24,11.23,22.22,16.23,16.23,27.35,16.12,21.98,5.09,5.47,6.33,3.9,11.43,9.37,8.62,6.42
2016-03-28,7.42,4.97,90.86,98.35,6.71,3.69,3.22,3.23,7.17,0.45,4.83,10.78,10.64,8.36,4.78,19.14,15.42,12.6,9.33
2017-06-14,2.1,8.71,70.56,99.85,5.89,17.04,11.74,11.74,20.54,14.65,17.26,2.8,3.19,4.41,2.51,7.21,5.7,5.97,3.99
2017-04-25,2.38,5.88,90.39,99.51,6.15,7.18,5.92,5.92,10.4,4.26,7.49,1.99,2.16,7.6,5.25,9.59,7.41,8.66,6.39
2016-11-07,0.14,5.87,77.43,100.86,9.47,9.4,6.11,6.12,15.55,6.08,9.94,2.88,1.72,3.22,2.38,6.1,4.1,4.66,3.24
2016-03-02,3.11,1.58,75.11,99.37,4.09,-5.06,-11.04,-10.89,-5.74,-9.83,-7.98,8.06,8.08,5.04,3.6,13.1,11.68,10.68,8.91
2016-07-07,0.55,13.29,65.86,98.9,8.85,24.39,18.17,18.17,29.83,20.99,25.08,2.18,1.35,2.14,1.75,4.32,3.1,3.53,2.35
2016-12-30,0.77,2.75,80.38,98.71,3.09,-0.22,-4.6,-4.55,-0.05,-3.14,-1.66,5.45,4.97,7.69,5.97,13.14,10.94,10.56,8.38
2015-11-11,2.64,6.23,88.41,99.36,5.19,8.26,6.84,6.85,11.48,6.29,8.65,4.39,2.56,1.38,1.03,5.77,3.59,4.04,2.82
2017-03-28,1.44,4.85,84.89,99.62,9.09,5.11,3.24,3.24,10.33,1.24,5.62,5.0,3.91,3.42,2.0,8.41,5.91,6.11,4.27
