code,name,latitude,longitude,yearid
226,Saint Asaph St & Pendleton  St,,,2015
260,Wilson Blvd & N Illinois St ,,,2017
13,15th & P St NW,,,2015
76,Vermont Ave & I St NW,,,2016
5,15th & P St NW,,,2016
110,39th & Veazey St NW,,,2017
229,3rd St & Riggs Rd NE,,,2017
315,47th & Elm St,,,2017
463,Key West Ave & Great Seneca Hwy,,,2017
347,US Dept of State / Virginia Ave & 21st St NW,,,2017
31,25th St & Pennsylvania Ave NW,,,2015
156,10th & E St NW,,,2015
269,Potomac Greens Dr & Slaters Ln,,,2017
376,Amherst Ave & Elkins St,,,2017
392,Montgomery College/W Campus Dr & Mannakee St,,,2016
84,12th & U St NW,,,2015
24,Calvert & Biltmore St NW,,,2017
121,New Hampshire Ave & 24th St NW,,,2016
131,19th & East Capitol St SE,,,2017
354,Norfolk & Rugby Ave,,,2016
256,Wisconsin Ave & Ingomar St NW,,,2016
345,S Kenmore & 24th St S,,,2017
293,39th & Veazey St NW,,,2016
111,Henry St & Pendleton St,,,2017
252,19th & K St NW,,,2015
134,Virginia Square Metro / N Monroe St & 9th St N,,,2015
212,23rd & Crystal Dr,,,2016
60,20th St & Florida Ave NW,,,2016
423,Dennis & Amherst Ave,,,2017
253,S Joyce & 16th St S,,,2017
206,Philadelphia & Maple Ave,,,2015
208,Rhode Island Ave Metro,,,2016
406,Reston Regional Library,,,2017
188,New Jersey Ave & N St NW/Dunbar HS,,,2017
357,Cordell & Norfolk Ave,,,2016
328,King Farm Blvd & Piccard Dr,,,2015
43,Utah St & 11th St N ,,,2015
226,34th & Water St NW,,,2017
42,7th & R St NW / Shaw Library,,,2017
166,3rd St & Pennsylvania Ave SE,,,2017
188,Ballenger Ave & Dulaney St,,,2015
175,12th & Army Navy Dr,,,2017
86,Bladensburg Rd & Benning Rd NE,,,2015
184,20th & L St NW,,,2015
12,18th St & Wyoming Ave NW,,,2015
389,Crabbs Branch Way & Redland Rd,,,2016
296,Hains Point/Buckeye & Ohio Dr SW,,,2017
170,17th & K St NW,,,2017
407,61st St & Banks Pl NE,,,2016
250,Good Hope Rd & MLK Ave SE,,,2015
353,Philadelphia & Maple Ave,,,2017
299,Glebe Rd & 11th St N,,,2016
154,4th & C St SW,,,2015
307,Benning Branch Library,,,2015
116,Jefferson Dr & 14th St SW,,,2017
472,22nd & H St NW,,,2017
270,Rolfe St & 9th St S,,,2017
300,Royal & Wilkes St,,,2016
221,19th St & Constitution Ave NW,,,2015
62,16th & Harvard St NW,,,2017
96,C & O Canal & Wisconsin Ave NW,,,2016
42,23rd & E St NW ,,,2015
234,Clarendon Blvd & N Fillmore St,,,2016
35,Wilson Blvd & N Edgewood St,,,2015
213,Connecticut Ave & Tilden St NW,,,2016
95,Wilson Blvd & Franklin Rd,,,2016
191,Virginia Square Metro / N Monroe St & 9th St N,,,2016
263,6th & S Ball St,,,2015
225,Potomac Ave & Main Line Blvd,,,2016
211,Mount Vernon Ave & Kennedy St,,,2016
344,Fessenden St & Wisconsin Ave NW,,,2016
416,Spring Hill Metro,,,2016
45,Eastern Market Metro / Pennsylvania Ave & 7th St SE,,,2015
306,Maple & Ritchie Ave,,,2015
37,Park Rd & Holmead Pl NW,,,2017
340,Reston Station,,,2017
155,36th & Calvert St NW / Glover Park,,,2015
178,Fessenden St & Wisconsin Ave NW,,,2015
150,Ballston Metro / N Stuart & 9th St N,,,2015
382,Ripley & Bonifant St,,,2016
