date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2016-04-23,2.87,8.64,80.91,100.24,10.79,14.92,11.66,11.66,19.8,9.0,15.04,4.46,4.2,3.75,1.78,8.21,5.98,6.25,3.74
2016-08-04,0.12,12.81,69.25,100.94,9.7,24.59,17.99,17.99,28.92,19.22,23.97,2.4,0.86,2.84,1.71,5.24,2.57,3.74,2.18
2015-08-10,7.73,14.78,82.35,100.43,7.51,23.81,20.2,20.2,28.11,20.6,23.36,3.19,3.05,3.96,2.11,7.14,5.16,5.65,3.75
2015-08-17,0.03,11.63,52.57,100.83,16.77,27.83,16.39,16.39,35.4,18.63,26.97,5.78,2.52,0.63,0.5,6.41,3.02,3.45,1.99
2016-07-12,0.36,13.99,68.44,100.8,11.55,26.12,19.34,19.34,30.63,19.08,25.6,3.75,1.95,2.56,1.62,6.31,3.56,4.44,2.83
2017-02-22,0.03,6.77,92.41,100.53,11.38,9.3,8.04,8.04,16.04,4.67,9.39,3.31,0.89,2.75,1.88,6.06,2.77,4.19,2.36
2017-05-25,20.66,11.07,82.23,98.97,10.74,18.83,15.34,15.34,23.87,13.13,18.47,5.42,4.37,3.4,1.76,8.83,6.12,5.17,3.31
2017-02-23,0.01,8.5,84.65,100.16,15.08,13.74,11.45,11.45,22.27,7.2,14.09,5.12,1.84,3.27,2.46,8.39,4.31,5.81,3.22
2015-10-10,0.08,6.98,71.45,100.87,8.26,13.84,8.42,8.43,17.68,9.41,13.78,4.14,3.12,2.55,1.68,6.69,4.8,4.59,2.96
2016-11-23,0.0,3.16,66.1,101.6,12.97,3.38,-2.42,-2.36,10.15,-2.83,3.39,5.29,2.39,0.34,0.38,5.63,2.77,3.51,1.9
2015-03-10,7.81,5.36,97.44,101.1,7.6,4.79,4.72,4.72,8.9,1.3,5.28,4.29,1.5,1.2,1.02,5.48,2.52,3.2,1.86
2015-03-28,0.13,2.11,60.08,100.79,5.75,-0.46,-7.61,-7.42,1.33,-4.43,-1.03,2.48,3.55,7.07,3.68,9.55,7.23,8.41,5.76
2017-12-04,0.0,4.49,80.17,101.75,9.2,3.73,2.38,2.39,11.28,2.08,5.65,5.47,2.41,1.22,0.95,6.68,3.36,3.73,2.17
2015-11-06,0.16,12.51,89.61,100.61,10.32,18.96,17.51,17.5,25.0,14.68,19.31,3.64,3.71,4.69,2.13,8.32,5.84,6.52,3.61
2017-07-09,0.06,10.87,58.32,100.71,11.72,24.75,15.3,15.3,29.62,17.9,24.08,5.32,2.59,0.46,0.21,5.79,2.8,3.61,2.14
2015-07-20,0.22,17.21,69.91,99.75,9.95,28.59,22.52,22.52,33.55,23.6,28.56,3.04,1.21,2.01,1.47,5.05,2.69,3.36,1.93
2015-05-26,0.25,12.76,79.32,101.26,12.07,21.66,17.89,17.89,27.11,15.04,21.71,2.61,1.17,4.12,2.59,6.73,3.76,5.35,3.02
2016-04-07,15.21,6.76,81.01,99.19,10.42,10.96,7.85,7.85,15.78,5.37,11.13,4.37,2.94,6.46,3.67,10.83,6.61,8.38,5.22
2015-12-03,0.01,4.11,75.57,100.98,8.01,5.04,0.95,0.97,8.78,0.77,5.11,4.12,4.43,5.31,2.42,9.43,6.85,7.7,4.61
2017-09-27,0.18,13.45,66.37,100.03,11.66,25.57,18.57,18.57,32.22,20.55,25.33,2.29,1.96,4.35,2.27,6.63,4.23,5.54,3.25
2016-03-28,4.83,6.39,74.31,99.99,10.32,11.75,7.16,7.17,17.41,7.09,11.72,8.81,6.8,3.33,1.75,12.14,8.55,8.02,5.19
2017-06-14,3.22,15.42,70.72,100.41,8.62,27.01,20.85,20.85,31.18,22.56,26.61,3.47,1.82,2.08,1.62,5.55,3.44,3.88,2.34
2017-04-25,11.64,9.17,92.15,99.91,6.52,13.97,12.62,12.62,17.45,10.93,13.9,5.86,4.8,5.13,3.07,10.99,7.87,7.69,5.26
2016-11-07,0.0,3.92,56.55,101.98,11.95,7.84,0.58,0.63,14.97,3.02,8.82,5.31,2.52,0.72,0.58,6.03,3.1,3.63,2.23
2016-03-02,1.91,3.41,72.72,100.33,16.89,3.02,-2.6,-2.52,12.99,-3.9,2.95,6.59,5.8,5.91,2.85,12.5,8.65,10.05,6.73
2016-07-07,1.69,16.47,71.53,100.0,10.43,27.59,21.84,21.84,33.01,22.58,27.46,3.29,1.28,2.83,1.65,6.12,2.93,4.0,2.29
2016-12-30,0.18,2.73,66.29,100.3,7.61,0.84,-4.38,-4.31,4.21,-3.4,1.11,4.68,4.57,5.62,2.72,10.3,7.29,8.36,4.97
2015-11-11,0.01,6.75,81.32,100.4,9.27,11.13,8.12,8.12,17.09,7.82,11.22,5.07,4.35,3.34,1.79,8.41,6.15,6.41,3.97
2017-03-28,4.78,10.2,86.48,100.17,9.04,16.27,14.31,14.31,21.57,12.53,16.58,3.58,1.44,3.31,1.78,6.89,3.22,4.63,2.53
2017-01-24,0.66,4.25,81.91,99.1,6.71,4.06,1.37,1.38,8.13,1.42,4.18,4.19,3.49,7.62,4.89,11.81,8.38,9.5,6.34
2016-07-23,0.68,15.24,55.42,100.32,13.46,31.23,20.62,20.62,37.25,23.79,30.61,3.66,1.7,1.93,1.48,5.59,3.17,4.0,2.29
2016-11-15,0.49,4.98,69.25,100.24,10.27,8.81,3.59,3.61,15.93,5.66,9.08,3.96,1.49,3.01,1.71,6.97,3.21,4.63,2.59
2015-09-02,1.22,13.11,59.64,100.55,11.84,26.84,18.26,18.26,33.31,21.47,26.81,3.84,1.21,1.29,0.97,5.13,2.17,2.62,1.51
2017-03-09,0.0,4.75,55.81,100.81,14.92,10.99,3.04,3.06,19.85,4.93,11.69,6.55,4.35,2.45,1.4,9.0,5.75,7.01,3.92
2015-05-15,0.02,9.17,74.67,101.43,13.15,17.8,12.7,12.7,24.06,10.92,17.43,2.4,2.11,4.14,2.21,6.53,4.32,5.28,3.14
2016-04-02,3.09,6.43,71.68,99.14,11.59,12.27,6.93,6.94,16.24,4.65,12.21,10.06,7.83,4.49,2.05,14.55,9.89,7.24,4.47
2016-08-10,0.19,15.73,66.11,101.08,11.61,28.66,21.26,21.26,34.42,22.81,28.22,2.82,2.39,3.55,1.97,6.37,4.35,5.35,3.17
2016-03-25,0.53,8.59,77.69,100.04,14.0,15.29,11.28,11.28,20.43,6.43,15.56,6.09,3.23,5.28,3.69,11.37,6.92,7.75,4.94
2015-01-14,1.02,2.46,83.69,101.69,4.98,-2.92,-5.61,-5.56,-0.28,-5.26,-3.29,1.73,1.47,2.82,1.75,4.55,3.22,3.58,2.51
2017-04-04,0.88,9.98,74.46,99.35,11.04,18.03,13.81,13.81,24.44,13.4,18.48,5.0,3.48,5.9,3.31,10.9,6.79,8.22,4.73
2015-02-15,0.01,0.81,51.02,101.1,6.3,-10.53,-17.72,-16.87,-7.71,-14.01,-11.31,7.16,5.74,8.22,5.43,15.39,11.17,12.7,9.23
2016-10-30,0.7,9.96,75.94,100.43,11.84,17.98,13.93,13.93,25.4,13.56,18.3,4.16,2.46,4.18,2.74,8.33,5.2,6.18,3.56
2016-05-20,0.2,8.34,72.6,101.3,13.22,16.29,11.38,11.38,22.84,9.62,16.35,4.07,1.06,2.18,1.76,6.26,2.83,4.02,2.33
2015-06-17,7.04,14.33,74.87,100.85,8.56,25.01,19.71,19.71,28.92,20.35,24.5,4.9,1.91,0.78,0.8,5.68,2.71,3.36,1.95
2015-02-12,0.23,2.62,74.41,100.3,12.12,-1.14,-5.38,-5.25,4.09,-8.03,-1.05,9.38,7.31,3.62,2.06,13.0,9.37,7.81,5.36
2016-03-03,2.32,2.67,73.05,101.34,8.76,0.25,-4.66,-4.57,4.42,-4.34,-0.37,5.08,2.27,0.46,0.57,5.54,2.84,3.24,1.89
2016-10-15,0.0,6.41,70.35,101.73,11.51,12.46,7.54,7.54,19.55,8.05,12.86,5.75,2.42,0.47,0.34,6.21,2.76,3.52,2.11
2015-03-27,7.37,4.51,77.86,99.95,7.9,6.07,2.26,2.27,9.63,1.72,5.88,5.65,4.42,3.41,1.7,9.06,6.12,5.33,3.52
2017-12-29,0.06,1.49,58.61,101.69,8.55,-4.63,-11.36,-11.04,-0.03,-8.58,-5.21,6.61,4.89,0.75,0.51,7.35,5.39,3.99,2.56
2016-10-14,0.0,5.81,67.87,101.73,11.68,12.05,6.14,6.14,17.49,5.81,11.91,5.0,2.24,1.07,0.75,6.07,2.99,3.37,2.06
2016-06-08,0.09,7.99,65.9,99.97,8.32,17.28,10.45,10.46,20.35,12.03,17.01,8.05,6.31,4.09,2.38,12.14,8.69,7.78,4.75
2017-03-27,0.85,8.91,86.87,100.59,15.73,14.6,11.93,11.93,22.74,7.02,14.48,3.35,1.96,3.12,1.98,6.47,3.93,4.46,2.74
2016-12-12,4.87,4.95,90.35,100.51,9.17,4.64,3.53,3.54,11.03,1.86,5.16,5.85,3.15,4.07,2.49,9.92,5.64,7.11,3.92
2017-10-18,0.0,4.68,52.51,101.68,16.17,12.55,2.97,3.0,21.83,5.65,12.53,5.7,2.32,0.55,0.62,6.24,2.94,3.5,2.07
2015-07-16,0.06,10.45,67.54,100.68,11.91,21.47,14.69,14.69,26.72,14.81,21.0,4.86,2.35,1.53,1.26,6.39,3.61,3.93,2.41
2015-12-05,0.0,4.03,80.56,102.8,12.07,2.99,1.12,1.14,10.99,-1.09,4.2,4.52,1.87,1.26,0.97,5.78,2.84,3.23,1.99
2017-10-17,0.0,4.07,51.57,101.65,12.76,11.2,0.96,1.02,17.63,4.87,10.68,5.39,2.7,0.42,0.33,5.82,3.03,3.76,2.22
2015-07-29,2.89,16.68,75.58,100.48,8.81,27.16,22.14,22.14,31.43,22.62,26.82,4.82,3.45,0.76,0.4,5.58,3.84,3.82,2.33
2017-08-02,1.81,13.56,65.42,100.75,11.3,25.91,18.84,18.84,31.41,20.1,25.84,3.28,1.02,1.48,1.09,4.76,2.12,2.77,1.65
2015-08-24,7.96,14.12,69.94,100.12,14.28,25.91,19.27,19.27,32.59,18.31,25.27,3.17,1.32,1.78,1.27,4.95,2.59,3.38,1.86
2017-11-01,0.12,7.01,86.14,101.3,10.13,10.58,8.61,8.61,16.4,6.27,11.07,4.14,1.76,1.7,1.02,5.83,2.78,3.69,2.13
2016-12-07,0.05,4.0,74.98,100.63,7.59,3.61,0.62,0.64,9.53,1.94,4.78,4.96,3.65,1.24,0.87,6.19,4.52,4.24,2.68
2016-06-12,0.06,12.24,62.73,99.95,14.98,24.25,16.55,16.55,31.27,16.29,24.7,5.28,3.54,5.3,3.41,10.58,6.95,8.29,4.79
2015-04-06,0.01,6.98,74.76,101.3,16.5,12.87,8.53,8.53,20.87,4.37,13.15,5.01,2.99,3.68,2.44,8.7,5.43,6.59,3.77
2015-11-07,2.89,8.74,84.49,100.91,8.24,14.36,11.71,11.72,17.95,9.71,14.66,3.98,2.24,3.53,1.93,7.51,4.16,5.11,2.79
2015-07-10,0.45,14.42,71.8,100.63,7.87,25.34,19.77,19.77,29.05,21.18,25.27,5.87,3.06,1.16,0.72,7.04,3.78,3.97,2.54
2016-04-24,0.0,4.83,55.78,100.9,15.09,12.57,3.17,3.2,19.46,4.37,11.98,6.69,3.29,0.77,0.48,7.46,3.77,4.16,2.24
2017-02-12,2.88,7.06,94.11,99.97,11.01,9.34,8.35,8.36,17.37,6.36,9.66,13.08,9.01,2.61,1.49,15.69,10.5,6.16,3.83
2016-10-24,0.0,6.55,66.51,100.76,12.1,13.83,7.61,7.62,20.26,8.16,13.89,5.01,3.03,3.81,2.74,8.82,5.77,6.91,3.96
2017-11-15,0.18,4.95,87.65,101.15,12.16,5.79,3.58,3.59,11.62,-0.54,5.7,2.69,0.65,2.77,1.97,5.46,2.62,4.27,2.36
2015-07-23,0.0,10.24,55.64,100.44,12.03,23.95,14.37,14.37,29.63,17.6,23.82,3.85,1.57,0.92,0.65,4.77,2.22,2.72,1.74
2016-10-22,0.16,4.83,58.8,99.75,7.43,11.4,3.12,3.14,14.69,7.26,11.01,3.32,3.86,8.6,4.72,11.92,8.58,10.7,7.08
2015-06-06,0.26,12.28,79.87,100.45,10.31,20.98,17.24,17.24,26.03,15.72,20.85,3.58,3.08,2.74,1.53,6.32,4.61,4.6,2.83
2016-02-11,0.0,1.44,57.61,101.07,5.0,-4.96,-11.73,-11.39,-2.93,-7.93,-5.49,5.08,4.73,5.04,2.88,10.11,7.61,8.46,5.94
2016-10-05,0.11,9.02,81.33,101.49,8.8,16.15,12.64,12.64,21.17,12.37,15.84,2.81,2.4,2.87,1.71,5.69,4.11,4.31,2.55
2016-07-01,4.41,14.66,76.93,100.36,11.39,24.61,20.02,20.02,30.07,18.68,24.35,4.13,1.63,1.97,1.59,6.1,3.22,3.91,2.29
2017-10-05,0.02,8.57,60.72,101.12,17.01,19.65,11.67,11.67,29.3,12.29,19.6,3.4,1.23,2.3,1.56,5.7,2.79,4.05,2.2
2015-11-24,0.0,3.38,70.51,101.84,14.78,2.64,-1.51,-1.48,11.44,-3.33,3.46,3.41,1.89,1.9,1.29,5.31,3.18,4.07,2.41
2017-07-22,16.62,16.58,65.15,100.07,10.62,30.07,21.94,21.94,35.11,24.49,29.2,3.91,2.59,1.29,0.96,5.2,3.55,3.62,2.24
2016-08-01,1.04,16.01,71.8,100.58,9.9,27.37,21.46,21.46,32.35,22.45,27.01,2.4,1.16,1.66,1.05,4.06,2.22,2.64,1.61
2016-01-12,0.06,2.71,72.08,100.25,9.58,-0.36,-4.74,-4.66,4.85,-4.73,-0.16,11.35,7.83,1.28,0.8,12.63,8.63,7.75,4.95
2017-12-11,0.0,3.26,76.78,100.6,10.71,1.52,-2.1,-2.07,7.45,-3.25,1.56,5.06,1.79,2.05,1.61,7.11,3.4,4.6,2.49
2015-07-30,9.9,17.14,77.82,100.22,9.03,26.59,22.46,22.46,31.77,22.74,26.74,4.27,2.05,1.67,1.07,5.94,3.12,3.63,2.25
2017-12-17,0.04,3.87,88.07,101.29,8.81,1.05,0.31,0.32,7.37,-1.45,2.14,5.33,2.51,0.3,0.25,5.64,2.75,3.48,1.95
2015-04-14,19.31,8.82,92.19,101.04,8.55,13.27,11.94,11.94,17.6,9.05,13.47,6.98,4.95,0.51,0.55,7.49,5.5,4.97,3.15
2015-04-08,6.77,6.66,92.6,101.18,7.36,9.53,7.95,7.95,14.04,6.68,9.21,3.93,2.88,2.97,2.24,6.9,5.11,4.74,3.57
2017-09-17,0.02,12.61,71.12,100.91,9.75,23.15,17.72,17.73,29.05,19.29,23.26,4.12,2.2,0.52,0.38,4.63,2.58,2.46,1.56
2017-11-29,0.0,4.88,73.67,101.29,16.09,7.51,3.45,3.46,17.77,1.68,8.03,4.09,1.37,3.64,2.77,7.72,4.14,5.99,3.23
2016-04-27,1.64,8.99,85.69,100.16,6.05,15.39,12.23,12.23,18.16,12.1,14.75,4.21,3.22,2.13,1.06,6.34,4.29,3.66,2.65
2015-05-19,4.31,13.95,76.45,100.36,10.22,23.32,19.2,19.2,28.71,18.49,23.62,6.97,3.39,0.51,0.3,7.48,3.69,4.07,2.38
2016-10-28,0.21,5.28,66.53,101.32,9.76,10.19,4.5,4.52,16.22,6.47,10.71,6.85,4.87,1.52,1.13,8.37,5.99,5.47,3.42
2015-03-14,10.56,6.8,98.86,100.52,10.05,8.09,8.02,8.03,13.86,3.81,8.45,2.86,2.67,4.94,2.47,7.79,5.15,6.1,3.5
2017-04-05,0.02,7.57,69.2,100.12,12.24,15.48,9.74,9.75,21.86,9.61,15.41,7.73,5.35,0.68,0.85,8.41,6.2,5.55,3.22
2016-05-07,1.3,7.4,79.65,99.77,9.69,13.45,9.41,9.41,17.71,8.02,12.85,5.92,2.74,0.19,0.21,6.11,2.95,3.48,1.97
2015-09-19,0.0,11.09,62.61,100.29,15.12,23.65,15.5,15.5,30.97,15.85,23.16,3.27,1.52,2.42,1.82,5.69,3.35,4.28,2.51
2015-09-18,0.01,9.82,58.23,100.61,15.52,23.1,13.7,13.7,30.7,15.18,22.41,5.51,2.23,0.68,0.51,6.19,2.73,3.52,1.95
2016-08-14,1.19,16.44,60.74,100.62,10.59,30.77,21.92,21.92,36.06,25.47,30.37,2.69,2.17,2.86,1.42,5.55,3.59,4.3,2.61
2016-01-31,0.0,5.17,97.07,100.34,11.99,4.02,3.95,3.95,11.69,-0.3,4.73,4.62,1.26,4.35,2.91,8.97,4.17,6.54,3.67
2016-11-18,0.0,5.08,61.26,101.0,17.23,9.59,3.98,3.99,21.35,4.12,11.32,5.54,2.39,1.04,0.63,6.58,3.02,3.2,1.95
2017-03-21,0.16,5.85,75.89,100.46,12.36,9.98,6.04,6.05,16.61,4.25,10.14,6.48,3.23,0.34,0.2,6.82,3.43,3.65,2.25
2016-05-02,4.98,11.19,83.86,100.26,14.75,18.76,15.55,15.54,26.31,11.56,18.53,4.13,2.65,0.87,0.82,5.0,3.47,3.48,2.17
2016-12-10,0.0,2.09,66.47,102.21,6.8,-1.89,-7.38,-7.24,2.17,-4.63,-2.3,2.52,2.59,3.62,1.95,6.13,4.55,5.42,3.25
2015-09-08,0.0,12.8,58.65,100.61,15.4,27.51,17.83,17.83,34.36,18.97,26.69,4.36,1.5,1.75,1.44,6.12,2.95,4.14,2.4
2015-03-26,10.88,8.93,93.38,99.98,14.25,13.05,11.79,11.79,21.08,6.83,13.31,4.31,4.29,5.31,2.63,9.62,6.93,6.94,4.33
2015-07-02,4.06,13.75,83.55,100.21,6.31,21.7,18.94,18.94,24.89,18.58,21.9,3.84,2.16,0.6,0.35,4.43,2.51,2.62,1.6
2016-04-08,0.01,3.92,62.92,99.77,8.77,6.86,0.29,0.33,11.34,2.57,6.91,7.83,5.71,0.56,0.43,8.39,6.14,5.69,3.66
2015-06-11,0.0,13.94,68.09,100.35,14.05,25.58,19.18,19.18,32.53,18.49,25.55,4.43,1.1,1.98,1.57,6.41,2.67,4.08,2.16
2016-06-07,0.56,12.75,74.1,99.31,11.82,22.56,17.57,17.57,28.14,16.31,22.5,4.97,2.08,2.16,1.56,7.12,3.64,4.83,2.7
2017-08-10,0.0,11.09,63.53,101.26,11.46,23.32,15.74,15.74,28.79,17.33,23.07,4.12,1.39,1.0,0.83,5.13,2.23,2.85,1.68
2016-05-28,0.1,14.6,79.68,101.02,11.15,23.84,20.06,20.06,29.51,18.37,23.8,4.17,1.68,2.55,1.96,6.72,3.65,4.72,2.7
2016-12-04,0.83,3.65,76.49,101.34,7.0,3.43,-0.43,-0.4,7.22,0.22,3.32,5.32,2.98,0.33,0.26,5.64,3.24,3.7,2.01
2017-10-30,1.62,4.5,63.21,99.64,9.3,9.2,2.18,2.2,14.29,4.99,8.86,7.35,6.09,5.44,2.63,12.8,8.72,8.52,5.42
2017-11-05,1.3,9.27,92.04,101.03,7.7,14.25,12.93,12.93,18.74,11.04,14.26,3.63,2.54,2.65,1.43,6.28,3.97,4.55,2.7
2017-09-02,14.24,10.98,90.11,100.83,6.71,17.62,15.38,15.38,20.49,13.78,17.18,6.8,4.82,0.1,0.26,6.9,5.09,4.4,3.05
2015-11-17,0.0,6.18,78.81,101.88,8.67,10.35,7.01,7.01,15.96,7.29,10.59,4.01,3.22,3.03,1.99,7.04,5.21,6.08,3.7
2015-11-04,0.3,7.57,72.9,101.59,12.97,13.28,9.94,9.94,21.84,8.86,14.84,4.71,1.89,0.94,0.78,5.65,2.67,3.05,1.76
2015-03-09,0.0,4.3,69.77,101.25,14.77,4.92,1.66,1.68,15.09,0.32,6.97,3.74,1.94,1.19,0.83,4.92,2.77,2.77,1.7
2016-03-07,0.0,5.52,86.84,101.26,16.53,7.31,5.03,5.03,16.28,-0.25,7.42,2.7,2.14,4.96,2.77,7.66,4.91,6.39,3.8
2017-01-06,0.23,2.32,72.76,100.96,4.41,-1.89,-6.53,-6.4,0.12,-4.28,-2.28,4.85,3.74,1.3,0.92,6.14,4.67,4.7,3.24
2015-09-25,0.66,10.36,75.74,101.46,7.44,19.27,14.7,14.7,23.55,16.11,19.13,2.63,2.78,4.79,2.61,7.42,5.39,6.21,3.77
2017-08-19,2.89,14.68,68.76,100.26,9.93,26.26,19.95,19.95,31.71,21.78,26.25,3.06,1.42,1.91,1.41,4.97,2.82,3.47,2.01
2017-11-04,12.04,6.24,77.5,101.45,7.42,11.33,6.98,6.99,14.82,7.39,10.93,4.5,2.55,2.51,1.36,7.0,3.91,3.98,2.41
2017-07-06,34.12,16.15,88.18,100.6,5.39,23.9,21.63,21.63,26.95,21.56,23.7,2.81,2.03,2.5,1.52,5.31,3.55,3.99,2.58
2017-06-29,0.12,10.45,54.32,100.91,17.43,25.33,14.76,14.76,32.52,15.09,24.63,4.22,2.27,3.77,2.38,7.99,4.65,5.8,3.56
2016-07-14,0.36,16.45,64.04,100.27,13.09,29.8,21.87,21.87,35.74,22.65,29.39,4.17,3.15,2.71,1.53,6.87,4.68,4.99,2.98
2015-06-21,13.71,16.48,74.04,99.97,9.98,26.89,21.85,21.85,32.3,22.32,26.88,3.61,3.21,4.47,1.99,8.09,5.2,6.18,3.78
2016-09-11,0.0,10.77,53.83,100.69,10.95,25.67,14.78,14.78,30.41,19.45,25.26,3.86,3.11,3.05,1.86,6.91,4.97,5.04,3.29
2016-01-17,1.08,3.19,86.39,100.08,4.63,-0.65,-2.38,-2.36,2.1,-2.53,-0.43,4.49,1.76,2.65,1.9,7.14,3.66,4.51,2.5
2017-04-15,0.69,9.88,78.31,101.39,15.04,18.09,13.64,13.64,25.36,10.32,17.84,4.01,1.95,2.78,2.0,6.79,3.94,4.84,2.79
2016-01-24,0.0,2.09,92.28,100.79,11.85,-8.61,-7.99,-7.96,-0.91,-12.76,-6.87,6.31,4.34,3.73,2.23,10.04,6.58,6.48,4.21
2015-06-27,42.92,15.91,95.41,100.08,5.25,22.15,21.23,21.23,24.96,19.71,22.08,4.08,4.13,4.72,2.23,8.8,6.36,6.6,4.19
2017-09-22,0.0,11.64,68.76,100.67,8.64,22.2,16.41,16.41,27.48,18.84,22.46,3.21,1.34,2.17,1.51,5.38,2.85,3.77,2.16
2015-02-20,0.0,0.87,62.72,101.93,10.43,-12.66,-17.09,-16.54,-7.33,-17.77,-12.89,5.61,3.83,2.73,1.69,8.34,5.52,5.88,3.93
2015-10-07,0.04,10.26,77.8,100.68,9.94,17.82,14.47,14.47,23.61,13.67,18.43,3.42,1.3,1.54,1.1,4.95,2.4,3.24,1.85
2015-06-22,0.03,14.98,66.68,100.6,10.23,27.22,20.38,20.38,32.48,22.25,27.16,4.3,1.26,2.1,1.5,6.4,2.76,3.75,2.05
2015-12-15,0.26,6.9,81.07,99.75,12.57,11.06,7.95,7.95,17.52,4.95,11.51,3.08,3.51,5.43,2.6,8.52,6.1,7.13,3.99
2015-10-02,37.61,7.6,90.67,100.81,3.74,11.83,9.95,9.95,13.33,9.59,11.44,2.81,2.27,7.9,5.21,10.71,7.49,9.13,6.35
2015-02-13,0.0,1.18,53.63,101.35,8.09,-6.6,-13.96,-13.42,-2.59,-10.68,-7.13,11.17,8.21,0.89,0.62,12.05,8.83,6.44,4.71
2015-05-01,1.21,7.48,84.39,100.37,4.81,12.4,9.66,9.66,14.83,10.02,12.21,4.16,2.82,1.49,0.94,5.65,3.76,3.78,2.4
2017-01-11,3.45,4.95,98.71,101.47,8.17,3.51,3.77,3.77,8.75,0.58,4.03,7.87,4.52,2.35,1.9,10.22,6.42,6.68,3.72
2016-07-20,1.2,12.12,59.43,101.13,11.57,26.21,17.02,17.02,31.54,19.97,25.64,2.47,1.87,2.39,1.24,4.86,3.12,3.21,2.06
2017-02-14,0.04,3.42,77.13,100.33,10.64,1.8,-1.53,-1.5,7.74,-2.9,2.14,4.29,3.51,2.74,1.56,7.03,5.07,4.87,2.91
2017-11-02,0.01,9.08,84.27,101.23,14.76,15.15,12.54,12.54,23.48,8.72,15.34,5.01,2.27,2.0,1.52,7.01,3.8,4.65,2.55
2017-08-06,0.19,10.51,60.99,100.91,12.6,23.64,14.84,14.84,28.57,15.97,22.8,5.09,2.07,0.37,0.38,5.46,2.45,2.91,1.49
2016-06-27,4.26,14.03,78.82,100.69,14.18,23.69,19.23,19.23,30.43,16.25,23.27,2.17,1.7,3.14,1.92,5.32,3.62,4.43,2.67
